Section,Method,Y,M,indirect,z_or_z_boot,ci_lo,ci_hi,note
Y×M Decomposition,"Cluster-bootstrap (N=4,000 agents)",probability,stance_direction,-0.02888,-15.686,-0.0327,-0.0254,PRIMARY
Y×M Decomposition,"Cluster-bootstrap (N=4,000 agents)",probability,stance_openness,-0.0325,-17.706,-0.0363,-0.029,
Y×M Decomposition,"Cluster-bootstrap (N=4,000 agents)",converged,stance_direction,-0.08705,-8.925,-0.1064,-0.0678,
Y×M Decomposition,"Cluster-bootstrap (N=4,000 agents)",converged,stance_openness,-0.09042,-9.033,-0.1103,-0.0707,
ICC Fix: Session-level,"OLS LPM + bootstrap (n=1,000 sessions)",converged (session),mean_openness,-0.06213,-4.899,-0.0879,-0.0388,ICC-CORRECTED (gold standard)
ICC Fix: GEE,GEE-Exchangeable,"converged (agent, cluster-corrected)",stance_openness,-7e-05,-12.798,,,population-average
ICC Fix: GEE,GEE-Exchangeable,"converged (agent, cluster-corrected)",stance_direction,-7e-05,-12.641,,,population-average
ICC Fix: GEE,GEE-Independence,"converged (agent, cluster-corrected)",stance_openness,-0.62224,-7.048,,,population-average
ICC Fix: GEE,GEE-Independence,"converged (agent, cluster-corrected)",stance_direction,-0.58848,-7.094,,,population-average
ICC Fix: GLMM,GLMM (MixedLM LPM),"converged (agent, RE session)",stance_openness,-0.0,-0.0,,,random intercept per session
ICC Fix: GLMM,GLMM (MixedLM LPM),"converged (agent, RE session)",stance_direction,-0.0,-0.0,,,random intercept per session
